,YearC,response,SE,df,asymp.LCL,asymp.UCL,nom$Nominal,nom$NObs,2025 response
1,1963,436.9630038,42.31497202,Inf,361.4226235,528.2919615,298.6300664,158,449.0287807
2,1964,290.8329062,21.35154843,Inf,251.8560766,335.8417255,195.2145363,294,298.1465849
3,1965,270.3392077,19.63411734,Inf,234.4705048,311.6950136,92.78419757,328,278.2640223
4,1966,234.7304369,17.98872747,Inf,201.9933142,272.7732757,151.8199585,247,240.2462323
5,1967,253.5941051,20.32319099,Inf,216.732144,296.7255754,158.111792,226,259.6843143
6,1968,276.340074,21.25844031,Inf,237.6633267,321.3109804,95.18553882,285,285.8656238
7,1969,307.6242978,22.3518764,Inf,266.791889,354.7060931,103.2845409,292,317.215291
8,1970,323.4978316,21.08341692,Inf,284.7054441,367.575855,89.38687047,410,333.1794778
9,1971,457.7454278,32.20997067,Inf,398.7749703,525.4363795,21.05146896,417,462.4468036
10,1972,529.8577326,43.41920744,Inf,451.2399488,622.1727876,28.03577437,268,546.2781316
11,1973,630.8528811,53.6172566,Inf,534.0513627,745.2005281,46.46030528,205,641.0450012
12,1974,459.6903967,36.54335167,Inf,393.3676817,537.1952771,22.51520998,302,474.7514887
13,1975,279.5145268,22.78488431,Inf,238.2417691,327.9373344,12.76573052,363,291.4406154
14,1976,195.4004914,18.09564633,Inf,162.966219,234.2899792,7.773913825,323,203.5241496
15,1977,260.3063904,24.35873703,Inf,216.6864692,312.70719,10.47143258,283,269.9131458
16,1978,353.0844546,34.6924785,Inf,291.2348822,428.069025,16.01132672,226,379.0127264
17,1979,277.1054305,26.94978753,Inf,229.0138466,335.295969,56.07622592,222,284.9760414
18,1980,289.3697532,25.33728035,Inf,243.7371543,343.5457115,89.36232719,242,299.2535425
19,1981,261.7451878,23.1729766,Inf,220.0491208,311.3420453,36.10315375,288,265.0478976
20,1982,272.7001335,23.4852411,Inf,230.345069,322.8433026,29.06165713,301,279.8089461
21,1983,196.135503,18.51063948,Inf,163.0131137,235.9879808,33.65311065,278,200.0768508
22,1984,165.3775054,15.41279657,Inf,137.7673943,198.5209884,17.39519391,306,177.5002678
23,1985,206.2764373,17.62688642,Inf,174.4665283,243.8861425,22.26478444,351,217.18971
24,1986,303.3934909,21.87485759,Inf,263.4111191,349.4446652,136.3573559,356,318.4906326
25,1987,343.3470157,19.3692802,Inf,307.4074106,383.4883907,367.9832247,420,354.36397
26,1988,381.0266194,19.78515414,Inf,344.1564413,421.8467744,401.3680938,449,393.9693061
27,1989,320.4241406,16.16042694,Inf,290.2654301,353.7163548,390.2507913,509,330.6249036
28,1990,302.2545968,15.47061384,Inf,273.404069,334.1495306,375.3653276,470,310.1780442
29,1991,300.123134,15.30663541,Inf,271.5733726,331.6742533,289.8514509,509,306.9315977
30,1992,233.1451143,11.71693968,Inf,211.275111,257.2789766,268.0818838,521,237.8743492
31,1993,216.2052545,11.05912005,Inf,195.5808884,239.0044982,257.9992849,489,218.8991754
32,1994,193.1968469,9.908083482,Inf,174.7214548,213.6258635,223.0038653,551,197.1791072
33,1995,184.7189603,9.46220611,Inf,167.0739655,204.2274761,198.8652682,569,188.2639259
34,1996,163.076658,8.246456905,Inf,147.6890379,180.0675037,172.849129,614,167.3396937
35,1997,163.7394772,7.940311075,Inf,148.8934529,180.0657844,184.078667,667,167.3690242
