"","Year","Recruitment"
"1",1970,953.642378583306
"2",1971,951.874788225103
"3",1972,951.993377609678
"4",1973,952.349675954068
"5",1974,952.436296850288
"6",1975,952.380148907224
"7",1976,951.483441242216
"8",1977,951.195293104058
"9",1978,951.017332670316
"10",1979,681.552180453342
"11",1980,703.068779468439
"12",1981,656.667631567746
"13",1982,714.172777376959
"14",1983,910.547230277149
"15",1984,916.015161548341
"16",1985,945.826591126803
"17",1986,968.959975305133
"18",1987,1160.13940236978
"19",1988,1070.45949300769
"20",1989,820.112609952129
"21",1990,806.021105412391
"22",1991,876.751974790617
"23",1992,881.121484322765
"24",1993,895.393068761186
"25",1994,749.413752243351
"26",1995,812.655075737729
"27",1996,868.15065729748
"28",1997,945.255840811167
"29",1998,887.881304321171
"30",1999,899.971979615071
"31",2000,767.677828166034
"32",2001,811.952341415819
"33",2002,722.987478559055
"34",2003,707.477439093415
"35",2004,764.962594355738
"36",2005,924.553383112721
"37",2006,1090.02541962268
"38",2007,1026.19653054615
"39",2008,814.019809297724
"40",2009,772.952774443862
"41",2010,999.56321866769
"42",2011,827.745424464455
"43",2012,737.03647581927
"44",2013,786.759134002388
"45",2014,656.525771637663
"46",2015,583.280296398072
"47",2016,822.220803559909
"48",2017,1084.21694172344
"49",2018,877.462191740616
"50",2019,755.691511695564
"51",2020,739.064505477941
"52",2021,830.033852497108
"53",2022,848.526214297691
