"","YearC","response","SE","df","asymp.LCL","asymp.UCL","nom$Nominal","nom$NObs"
"1",1963,449.028780716567,43.3741539826226,Inf,371.579674681249,542.620761172602,298.647944625112,158
"2",1964,298.1465849401,21.8438349233289,Inf,258.265383842068,344.186219574058,195.239156509627,294
"3",1965,278.264022290236,20.1612403788731,Inf,241.42620691502,320.72270484039,92.8107398951916,328
"4",1966,240.246232284521,18.373516575472,Inf,206.803801168302,279.096669407616,151.830332715454,247
"5",1967,259.684314276812,20.7663069401308,Inf,222.012411042209,303.748528133399,158.116363291427,226
"6",1968,285.865623792525,21.9250681216243,Inf,245.967219710585,332.235957955875,95.1948808103612,285
"7",1969,317.2152909584,22.9905501502614,Inf,275.208779221187,365.633469624707,103.284540863707,292
"8",1970,333.179477785221,21.6829825386779,Inf,293.280312196459,378.50670433981,89.3868704650871,410
"9",1971,462.446803600709,32.5575918998293,Inf,402.841989865056,530.870791875867,20.9471429840444,417
"10",1972,546.278131600012,44.5303111216184,Inf,465.615491800621,640.914665253846,28.5449105710481,268
"11",1973,641.045001162725,54.447881603903,Inf,542.738653595054,757.157594716529,46.4603052803869,205
"12",1974,474.751488682274,37.6822178274321,Inf,406.353805484025,554.661905374716,22.4409023550503,303
"13",1975,291.440615440182,23.70868851059,Inf,248.487671252142,341.818295854064,12.8037960851863,363
"14",1976,203.524149595486,18.8069000129336,Inf,169.808576192176,243.933966101261,7.78446076596749,323
"15",1977,269.913145849926,25.2156137304875,Inf,224.752098554452,324.148725512136,10.4235092246522,283
"16",1978,379.012726417222,36.9178279206521,Inf,313.142703713029,458.738604102558,16.774294399311,226
"17",1979,284.97604144269,27.6463091894385,Inf,235.630197772756,344.65592680386,56.108257831129,222
"18",1980,299.253542526248,26.1498157987511,Inf,252.149637205998,355.156896939524,89.3809342407192,242
"19",1981,265.04789763577,23.4272723842637,Inf,222.888498737002,315.181754281695,35.351111689566,292
"20",1982,279.808946118446,24.0416223723111,Inf,236.442219563719,331.129721554725,29.1023685779105,301
"21",1983,200.076850829946,18.922942853817,Inf,166.22318009511,240.825294132404,33.3719811489286,278
"22",1984,177.50026778313,16.3785082897124,Inf,148.134415262626,212.687544668303,17.7186297963906,306
"23",1985,217.189709980268,18.4652959540701,Inf,183.853020373444,256.571091546376,22.4006219620642,351
"24",1986,318.490632559524,22.8440515456278,Inf,276.721817678926,366.564096315167,136.551390580069,356
"25",1987,354.363970022511,19.9311915114984,Inf,317.375758437493,395.662932381292,368.054317500546,420
"26",1988,393.969306106631,20.3947650097491,Inf,355.957297068358,436.040545965641,401.528936843868,449
"27",1989,330.624903558044,16.622893282856,Inf,299.598431496082,364.864483124624,390.409049629092,509
"28",1990,310.178044174515,15.8027620390719,Inf,280.701385029117,342.750069002857,374.971540735421,471
"29",1991,306.931597734302,15.616100087914,Inf,277.801171593456,339.116660838268,289.205125056008,510
"30",1992,237.874349202883,11.9220480362149,Inf,215.618568680125,262.427333392788,268.16061196572,521
"31",1993,218.899175366133,11.173258014541,Inf,198.059780817895,241.931243072666,257.849763875649,489
"32",1994,197.179107203073,10.0946619531432,Inf,178.354182422449,217.990964884191,222.978239988189,551
"33",1995,188.263925936476,9.62852733112777,Inf,170.307374251268,208.113747069592,198.839127653983,569
"34",1996,167.339693684596,8.44160057637627,Inf,151.586088346907,184.730494650473,172.887592713939,614
"35",1997,167.369024158692,8.10334813615345,Inf,152.217036326856,184.029271123647,184.078667047744,667
"36",1998,169.514721145938,8.33614881097386,Inf,153.938860003876,186.666581033935,178.567027279273,709
"37",1999,181.47768279353,9.00732453821058,Inf,164.655157546677,200.018935591329,188.502338256407,719
"38",2000,220.725643823168,10.7830627890363,Inf,200.57150111874,242.904946961081,317.011932983773,496
"39",2001,234.985649394655,11.6240604027754,Inf,213.272501234845,258.909400423001,328.997114406145,478
"40",2002,236.865482015715,11.6485449636684,Inf,215.100529406293,260.832721915632,327.238471531826,483
"41",2003,246.162081900067,11.3333425126044,Inf,224.92187643541,269.408078599133,406.357037396783,543
"42",2004,223.596772226676,9.81365988308847,Inf,205.166430916792,243.682732729627,283.626410960602,826
"43",2005,233.226489680461,9.96377882989223,Inf,214.493083833451,253.596034503873,289.016703864025,899
"44",2006,219.928740397063,9.64400655114442,Inf,201.816323852599,239.666692610879,305.912342641339,771
"45",2007,233.207616042315,10.1730490711457,Inf,214.097390101772,254.023611190623,351.384863686441,692
"46",2008,249.015681586541,10.9496934006371,Inf,228.453462982142,271.428626498242,372.098918147856,669
"47",2009,247.289161122007,11.0045117207801,Inf,226.634549407741,269.826155668819,354.335558862256,646
"48",2010,226.460740607654,10.7028537739454,Inf,206.425782077914,248.440221566946,292.066397233917,576
"49",2011,258.275929360755,11.5316373938647,Inf,236.635035705264,281.895939408763,380.064552443362,582
"50",2012,254.254554985365,11.1764210339613,Inf,233.266279040208,277.131263879179,390.027204150118,613
"51",2013,252.662660682889,11.5733499633481,Inf,230.967736191728,276.395401175703,362.390521699341,570
"52",2014,236.33822673028,11.1841252774944,Inf,215.403597988892,259.307448601177,376.678220477212,465
"53",2015,206.721403214297,9.46214688514536,Inf,188.983486473448,226.124193940575,330.713705628211,550
"54",2016,182.406676047178,8.44388235792412,Inf,166.585545691281,199.730386742202,288.026177891814,564
"55",2017,171.401720829139,8.12702892891135,Inf,156.190773448785,188.094016403749,230.26699802831,574
"56",2018,182.665976950075,8.91388252702614,Inf,166.004568648397,200.999643604975,244.853202498968,507
"57",2019,201.949728932704,10.1104570810938,Inf,183.074782669698,222.770675574551,273.094963908955,493
"58",2020,298.027903591488,14.0901162537268,Inf,271.652655931442,326.963971747633,362.574759712214,520
"59",2021,269.568271630963,15.1397895900276,Inf,241.469708244198,300.936517455914,257.377632028129,355
"60",2022,339.993039494926,19.3621589394012,Inf,304.085149658138,380.141111905511,273.408097888531,328
"61",2023,378.629250243506,20.4269957819585,Inf,340.637107028465,420.858756083727,316.67151048865,376
