,OM,M,h,Robustness
1,MOM_127,0.1,0.6,Reference
2,MOM_128,0.2,0.6,Reference
3,MOM_129,0.3,0.6,Reference
4,MOM_133,0.1,0.75,Reference
5,MOM_134,0.2,0.75,Reference
6,MOM_135,0.3,0.75,Reference
7,MOM_139,0.1,0.9,Reference
8,MOM_140,0.2,0.9,Reference
9,MOM_141,0.3,0.9,Reference
10,MOM_181,0.1,0.6,Increase q
11,MOM_182,0.2,0.6,Increase q
12,MOM_183,0.3,0.6,Increase q
13,MOM_187,0.1,0.75,Increase q
14,MOM_188,0.2,0.75,Increase q
15,MOM_189,0.3,0.75,Increase q
16,MOM_193,0.1,0.9,Increase q
17,MOM_194,0.2,0.9,Increase q
18,MOM_195,0.3,0.9,Increase q
