Year,Catch
1950,3646
1951,2581
1952,2993
1953,3303
1954,3034
1955,3502
1956,3358
1957,4578
1958,4904
1959,6232
1960,3828
1961,4381
1962,5342
1963,10190
1964,11258
1965,8652
1966,9349
1967,9107
1968,9172
1969,9203
1970,9578
1971,5266
1972,4766
1973,6074
1974,6362
1975,8839
1976,6696
1977,6409
1978,11827
1979,11937
1980,13558
1981,11197
1982,13215
1983,14562.67
1984,12832.67
1985,14383
1986,18486.4
1987,20238.32
1988,19525.07
1989,17261.33
1990,15672.1
1991,14933.7
1992,15394
1993,16737.83
1994,15501.26
1995,17104.89
1996,15221.72
1997,13024.67
1998,12329
1999,11622.37
2000,11453.18
2001,10011.05
2002,9654.123
2003,11443.54
2004,12071.14
2005,12380.25
2006,11528.46
2007,12305.56
2008,11102.32
2009,12146.14
2010,11671.58
2011,12709.12
2012,13889.55
2013,12078.35
2014,10707.66
2015,10752.08
2016,10501.24
2017,10295.41
2018,9025.198
2019,10244.14
2020,10445
2021,9845
2022,10349
