Family,Name,Description,Minimum Acceptable Values (\%)
Status,PGK_short,Probability of being in Green Zone of Kobe Space (SB>SBMSY & F<FMSY) in years 1-10 (2025-2034),"51, 60, 70"
,PGK_med,Probability of being in Green Zone of Kobe Space (SB>SBMSY & F<FMSY) in years 11-20 (2035-2044),"51, 60, 70"
,PGK_long,Probability of being in Green Zone of Kobe Space (SB>SBMSY & F<FMSY) in years 21-30 (2045-2054),"51, 60, 70"
,PGK,Probability of being in Green Zone of Kobe Space (SB>SBMSY & F<FMSY) over all years (2025-2054),"51, 60, 70"
,PGK_30,Probability of being in Green Zone of Kobe Space (SB>SBMSY & F<FMSY) in year 30 (2054),"51, 60, 70"
,POF,Probability of Overfishing (F>FMSY) over all years (2025-2054),
,PNOF,Probability of Not Overfishing (F<FMSY) over all years (2025-2054),
Safety,LRP_short,Probability of breaching the limit reference point (SB<0.4SBMSY) in any of the first 10 years (2025-2034),"5, 10, 15"
,LRP_med,Probability of breaching the limit reference point (SB<0.4SBMSY) in any of years 11-20 (2035-2044),"5, 10, 15"
,LRP_long,Probability of breaching the limit reference point (SB<0.4SBMSY) in any of years 21-30 (2045-2054),"5, 10, 15"
,LRP,Probability of breaching the limit reference point (SB<0.4SBMSY) in any year (2025-2054),"5, 10, 15"
Yield,TAC1,TAC (t) in the first implementation year (2025),
,AvTAC_short,Median TAC (t) over years 1-10 (2025-2034),
,AvTAC_med,Median TAC (t) over years 11-20 (2035-2044),
,AvTAC_long,Median TAC (t) over years 21-30 (2045-2054),
Stability,VarC,Mean variation in TAC (%) between management cycles over all years and simulations,No minimum value and 25
