"","OM","M","sigmaR","h","CPUE lambda","Increase in catchability","Environmental covariate","SSB0","SSB_MSY","R0","F_FMSY","MSY","Depletion","SB_SBMSY"
"1",1,"0.1","0.2","0.6","0.05","1","0",379811,615.52,127981,1.99,9070.56,0.23,0.71
"2",2,"0.2","0.2","0.6","0.05","1","0",175472,1276.08,54682.3,0.99,11735.6,0.33,1.1
"3",3,"0.3","0.2","0.6","0.05","1","0",318579,6869.74,94112.6,0.13,42135.6,0.84,2.91
"4",4,"0.1","0.6","0.6","0.05","1","0",376690,610.46,126858,2.22,8924.74,0.22,0.69
"5",5,"0.2","0.6","0.6","0.05","1","0",181577,1320.48,56576.5,1.37,12096,0.25,0.85
"6",6,"0.3","0.6","0.6","0.05","1","0",318882,6876.26,94209.4,0.16,42125,0.72,2.53
"7",7,"0.1","0.2","0.75","0.05","1","0",328021,531.59,92652.8,1.8,9968.22,0.19,0.72
"8",8,"0.2","0.2","0.75","0.05","1","0",155572,1131.36,38896.2,0.68,13328.5,0.37,1.52
"9",9,"0.3","0.2","0.75","0.05","1","0",317358,6843.41,72836.5,0.09,54707.1,0.86,3.82
"10",10,"0.1","0.6","0.75","0.05","1","0",323158,523.71,91144,2.24,9737.97,0.17,0.65
"11",11,"0.2","0.6","0.75","0.05","1","0",159472,1159.72,39859.2,0.95,13621.9,0.27,1.16
"12",12,"0.3","0.6","0.75","0.05","1","0",322280,6949.55,73973.2,0.11,55486.4,0.75,3.38
"13",13,"0.1","0.2","0.9","0.05","1","0",291212,471.94,62710.8,1.45,10834.1,0.17,0.84
"14",14,"0.2","0.2","0.9","0.05","1","0",143008,1039.99,24679.7,0.44,15259.2,0.41,2.4
"15",15,"0.3","0.2","0.9","0.05","1","0",316130,6816.93,46586.6,0.06,69916,0.86,6.01
"16",16,"0.1","0.6","0.9","0.05","1","0",283964,460.19,60911.2,2.11,10497.1,0.13,0.67
"17",17,"0.2","0.6","0.9","0.05","1","0",146314,1064.03,25232.2,0.6,15575,0.3,1.85
"18",18,"0.3","0.6","0.9","0.05","1","0",323813,6982.6,47722.5,0.07,71523.3,0.76,5.38
"19",19,"0.1","0.2","0.6","1","1","0",406504,658.78,136997,1.38,9675.34,0.31,0.92
"20",20,"0.2","0.2","0.6","1","1","0",175852,1278.84,54811,0.95,11817.5,0.34,1.12
"21",21,"0.3","0.2","0.6","1","1","0",127573,2750.93,37692.7,0.44,17026.7,0.58,1.99
"22",22,"0.1","0.6","0.6","1","1","0",415546,673.43,139993,1.46,9849.54,0.29,0.88
"23",23,"0.2","0.6","0.6","1","1","0",196193,1426.77,61143.2,0.97,13120.3,0.32,1.06
"24",24,"0.3","0.6","0.6","1","1","0",125871,2714.24,37178.5,0.58,16872.7,0.43,1.52
"25",25,"0.1","0.2","0.75","1","1","0",349770,566.83,98811.9,1.2,10561.2,0.27,0.97
"26",26,"0.2","0.2","0.75","1","1","0",148635,1080.92,37198.4,0.75,12849,0.34,1.37
"27",27,"0.3","0.2","0.75","1","1","0",128957,2780.78,29626.7,0.27,22407.6,0.64,2.86
"28",28,"0.1","0.6","0.75","1","1","0",358514,581,101198,1.27,10763.5,0.26,0.94
"29",29,"0.2","0.6","0.75","1","1","0",165995,1207.16,41521.5,0.76,14266.3,0.32,1.3
"30",30,"0.3","0.6","0.75","1","1","0",115639,2493.59,26549.7,0.39,20224.2,0.48,2.15
"31",31,"0.1","0.2","0.9","1","1","0",308607,500.13,66435.5,0.97,11388.1,0.24,1.14
"32",32,"0.2","0.2","0.9","1","1","0",131568,956.8,22801.8,0.53,14205.3,0.34,2.01
"33",33,"0.3","0.2","0.9","1","1","0",131500,2835.63,19446.5,0.17,29277.1,0.68,4.71
"34",34,"0.1","0.6","0.9","1","1","0",316806,513.41,68048.9,1.03,11611.8,0.23,1.11
"35",35,"0.2","0.6","0.9","1","1","0",146857,1067.99,25402.8,0.54,15764.1,0.32,1.9
"36",36,"0.3","0.6","0.9","1","1","0",144371,3113.17,21349,0.18,32130.7,0.6,4.17
"37",37,"0.1","0.2","0.6","20","1","0",397698,644.51,134137,1.37,9817.17,0.3,0.89
"38",38,"0.2","0.2","0.6","20","1","0",163963,1192.38,51184.5,1.24,11345.9,0.26,0.85
"39",39,"0.3","0.2","0.6","20","1","0",91563.6,1974.45,27028,1,12393.8,0.29,0.99
"40",40,"0.1","0.6","0.6","20","1","0",391811,634.96,132151,1.43,9704.48,0.29,0.87
"41",41,"0.2","0.6","0.6","20","1","0",177719,1292.42,55474.5,1.23,12250.1,0.26,0.86
"42",42,"0.3","0.6","0.6","20","1","0",107752,2323.54,31811.3,0.89,14499.4,0.3,1.04
"43",43,"0.1","0.2","0.75","20","1","0",332919,539.52,94269.7,1.19,10541.4,0.27,0.96
"44",44,"0.2","0.2","0.75","20","1","0",135620,986.26,34049.7,1.03,12090,0.25,0.99
