"","OM","Parameter","Value","Min","Max"
"1","3","SizeSel_5P_1_JPN_ERLY_5",316.811,70,317
"2","6","SizeSel_5P_1_JPN_ERLY_5",316.793,70,317
"3","9","SizeSel_5P_1_JPN_ERLY_5",316.894,70,317
"4","12","SizeSel_5P_1_JPN_ERLY_5",316.867,70,317
"5","14","SizeSel_5P_1_JPN_ERLY_5",316.536,70,317
"6","15","SizeSel_5P_1_JPN_ERLY_5",316.914,70,317
"7","17","SizeSel_5P_1_JPN_ERLY_5",316.178,70,317
"8","18","SizeSel_5P_1_JPN_ERLY_5",316.887,70,317
"9","27","SizeSel_5P_1_JPN_ERLY_5",315.158,70,317
"10","33","SizeSel_5P_1_JPN_ERLY_5",316.441,70,317
"11","36","SizeSel_5P_1_JPN_ERLY_5",315.088,70,317
"12","39","SizeSel_2P_4_US_2",14.8921,0,15
"13","42","SizeSel_2P_4_US_2",14.923,0,15
"14","48","SizeSel_2P_4_US_2",14.8941,0,15
"15","51","SizeSel_5P_1_JPN_ERLY_5",316.465,70,317
"16","54","SizeSel_2P_4_US_2",14.8565,0,15
"17","57","SizeSel_2P_4_US_2",14.9028,0,15
"18","60","SizeSel_2P_4_US_2",14.9251,0,15
"19","66","SizeSel_2P_4_US_2",14.8983,0,15
"20","72","SizeSel_2P_4_US_2",14.8656,0,15
"21","75","SizeSel_5P_1_JPN_ERLY_5",316.877,70,317
"22","78","SizeSel_5P_1_JPN_ERLY_5",316.873,70,317
"23","80","SizeSel_5P_1_JPN_ERLY_5",315.939,70,317
"24","81","SizeSel_5P_1_JPN_ERLY_5",316.926,70,317
"25","83","SizeSel_5P_1_JPN_ERLY_5",315.613,70,317
"26","84","SizeSel_5P_1_JPN_ERLY_5",316.908,70,317
"27","86","SizeSel_5P_1_JPN_ERLY_5",316.817,70,317
"28","87","SizeSel_5P_1_JPN_ERLY_5",316.942,70,317
"29","89","SizeSel_5P_1_JPN_ERLY_5",316.656,70,317
"30","90","SizeSel_5P_1_JPN_ERLY_5",316.926,70,317
"31","99","SizeSel_5P_1_JPN_ERLY_5",316.411,70,317
"32","102","SizeSel_5P_1_JPN_ERLY_5",315.826,70,317
"33","105","SizeSel_5P_1_JPN_ERLY_5",316.715,70,317
"34","108","SizeSel_5P_1_JPN_ERLY_5",316.534,70,317
"35","114","SizeSel_2P_4_US_2",14.8841,0,15
"36","117","SizeSel_5P_1_JPN_ERLY_5",316.759,70,317
"37","123","SizeSel_2P_6_US_2",4.96643,-15,5
"38","123","SizeSel_5P_1_JPN_ERLY_5",316.894,70,317
"39","129","SizeSel_2P_4_US_2",14.851,0,15
"40","132","SizeSel_2P_4_US_2",14.9024,0,15
"41","147","SizeSel_5P_1_JPN_ERLY_5",316.816,70,317
"42","150","SizeSel_5P_1_JPN_ERLY_5",316.81,70,317
"43","153","SizeSel_5P_1_JPN_ERLY_5",316.893,70,317
"44","156","SizeSel_5P_1_JPN_ERLY_5",316.871,70,317
"45","158","SizeSel_5P_1_JPN_ERLY_5",316.548,70,317
"46","159","SizeSel_5P_1_JPN_ERLY_5",316.919,70,317
"47","161","SizeSel_5P_1_JPN_ERLY_5",316.287,70,317
"48","162","SizeSel_5P_1_JPN_ERLY_5",316.899,70,317
"49","171","SizeSel_5P_1_JPN_ERLY_5",315.925,70,317
"50","174","SizeSel_5P_1_JPN_ERLY_5",314.338,70,317
"51","177","SizeSel_5P_1_JPN_ERLY_5",316.59,70,317
"52","180","SizeSel_5P_1_JPN_ERLY_5",316.22,70,317
"53","186","SizeSel_2P_4_US_2",14.9023,0,15
"54","189","SizeSel_5P_1_JPN_ERLY_5",316.351,70,317
"55","195","SizeSel_2P_6_US_2",4.95274,-15,5
"56","195","SizeSel_5P_1_JPN_ERLY_5",316.829,70,317
"57","201","SizeSel_2P_4_US_2",14.8705,0,15
"58","204","SizeSel_2P_4_US_2",14.9102,0,15
"59","219","SizeSel_5P_1_JPN_ERLY_5",316.868,70,317
"60","222","SizeSel_5P_1_JPN_ERLY_5",316.855,70,317
"61","225","SizeSel_5P_1_JPN_ERLY_5",316.924,70,317
"62","228","SizeSel_5P_1_JPN_ERLY_5",316.909,70,317
"63","230","SizeSel_5P_1_JPN_ERLY_5",316.761,70,317
"64","231","SizeSel_5P_1_JPN_ERLY_5",316.942,70,317
"65","233","SizeSel_5P_1_JPN_ERLY_5",316.624,70,317
"66","234","SizeSel_5P_1_JPN_ERLY_5",316.927,70,317
"67","243","SizeSel_5P_1_JPN_ERLY_5",316.511,70,317
"68","246","SizeSel_5P_1_JPN_ERLY_5",316.108,70,317
"69","249","SizeSel_5P_1_JPN_ERLY_5",316.749,70,317
"70","252","SizeSel_5P_1_JPN_ERLY_5",316.614,70,317
"71","258","SizeSel_2P_4_US_2",14.8602,0,15
"72","261","SizeSel_2P_6_US_2",4.95717,-15,5
"73","261","SizeSel_5P_1_JPN_ERLY_5",316.845,70,317
"74","267","SizeSel_5P_1_JPN_ERLY_5",316.924,70,317
"75","270","SizeSel_5P_1_JPN_ERLY_5",316.785,70,317
"76","276","SizeSel_2P_4_US_2",14.8839,0,15
