"","OM","M","sigmaR","h","CPUE CV","Len. Comp. Eff. Samp. Size","Q increase","Env. Covariate","Total","Survey","Mean_body_wt","Length_comp","Recruitment"
"1","base_case","0.2","0.2","0.823509","0.2701595","20","1","TRUE",379.897,-188.35,122.919,480.688,-37.537
"2","1","0.1","0.2","0.6","0.3","2","1","FALSE",-23.2488,-185.743,123.713,71.9124,-33.1381
"3","2","0.2","0.2","0.6","0.3","2","1","FALSE",-46.1227,-183.918,121.006,52.8787,-36.093
"4","3","0.3","0.2","0.6","0.3","2","1","FALSE",-45.965,-181.251,121.383,51.6647,-37.7726
"5","4","0.1","0.6","0.6","0.3","2","1","FALSE",-3.80535,-190.121,123.429,73.5251,-10.6455
"6","5","0.2","0.6","0.6","0.3","2","1","FALSE",-27.9356,-191.055,121.265,53.8414,-11.9904
"7","6","0.3","0.6","0.6","0.3","2","1","FALSE",-26.6171,-187.491,121.684,51.7292,-12.5492
"8","7","0.1","0.2","0.75","0.3","2","1","FALSE",-31.0565,-187.25,122.27,69.7248,-35.8075
"9","8","0.2","0.2","0.75","0.3","2","1","FALSE",-49.9767,-186.628,121.273,53.1095,-37.7378
"10","9","0.3","0.2","0.75","0.3","2","1","FALSE",-49.2952,-181.448,121.287,50.5191,-39.6651
"11","10","0.1","0.6","0.75","0.3","2","1","FALSE",-8.73143,-191.175,122.385,71.5461,-11.4927
"12","11","0.2","0.6","0.75","0.3","2","1","FALSE",-29.2353,-192.139,121.529,53.9523,-12.5836
"13","12","0.3","0.6","0.75","0.3","2","1","FALSE",-27.8119,-186.882,121.534,50.631,-13.1064
"14","13","0.1","0.2","0.9","0.3","2","1","FALSE",-36.9189,-188.029,121.566,66.631,-37.0909
"15","14","0.2","0.2","0.9","0.3","2","1","FALSE",-52.7447,-187.649,121.517,52.8642,-39.4861
"16","15","0.3","0.2","0.9","0.3","2","1","FALSE",-49.3246,-179.689,121.074,50.2943,-41.0154
"17","16","0.1","0.6","0.9","0.3","2","1","FALSE",-12.6438,-191.479,121.816,68.849,-11.8346
"18","17","0.2","0.6","0.9","0.3","2","1","FALSE",-30.0811,-192.277,121.69,53.5946,-13.0965
"19","18","0.3","0.6","0.9","0.3","2","1","FALSE",-27.0199,-185.317,121.382,50.3369,-13.4325
"20","19","0.1","0.2","0.6","0.6","2","1","FALSE",48.0388,-106.871,123.889,71.627,-40.6118
"21","20","0.2","0.2","0.6","0.6","2","1","FALSE",22.962,-106.095,120.567,51.4527,-42.9671
"22","21","0.3","0.2","0.6","0.6","2","1","FALSE",21.7736,-105.744,120.851,50.1888,-43.5267
"23","22","0.1","0.6","0.6","0.6","2","1","FALSE",73.004,-110.133,122.901,71.0907,-10.8595
"24","23","0.2","0.6","0.6","0.6","2","1","FALSE",48.5825,-110.07,120.446,50.8499,-12.6465
"25","24","0.3","0.6","0.6","0.6","2","1","FALSE",47.8146,-109.312,120.706,49.4986,-13.0816
"26","25","0.1","0.2","0.75","0.6","2","1","FALSE",41.0335,-106.914,122.513,67.1967,-41.7668
"27","26","0.2","0.2","0.75","0.6","2","1","FALSE",20.427,-106.62,120.545,50.2498,-43.7508
"28","27","0.3","0.2","0.75","0.6","2","1","FALSE",20.3773,-106.224,120.652,50.1753,-44.2346
"29","28","0.1","0.6","0.75","0.6","2","1","FALSE",67.9337,-109.418,122.077,66.6983,-11.4272
"30","29","0.2","0.6","0.75","0.6","2","1","FALSE",47.392,-109.854,120.454,49.9855,-13.1967
"31","30","0.3","0.6","0.75","0.6","2","1","FALSE",47.4504,-109.136,120.573,49.5253,-13.5187
"32","31","0.1","0.2","0.9","0.6","2","1","FALSE",35.0555,-106.477,121.562,62.6741,-42.7074
"33","32","0.2","0.2","0.9","0.6","2","1","FALSE",18.9071,-106.846,120.547,49.5618,-44.3592
"34","33","0.3","0.2","0.9","0.6","2","1","FALSE",19.9735,-106.235,120.532,50.29,-44.6225
"35","34","0.1","0.6","0.9","0.6","2","1","FALSE",63.4619,-108.833,121.308,62.9257,-11.9428
"36","35","0.2","0.6","0.9","0.6","2","1","FALSE",46.7167,-109.649,120.449,49.466,-13.5521
"37","36","0.3","0.6","0.9","0.6","2","1","FALSE",47.4901,-108.871,120.476,49.6464,-13.7693
"38","37","0.1","0.2","0.6","0.3","20","1","FALSE",566.762,-173.945,132.882,627.337,-19.5183
"39","38","0.2","0.2","0.6","0.3","20","1","FALSE",401.933,-177.278,122.403,488.299,-31.4971
"40","39","0.3","0.2","0.6","0.3","20","1","FALSE",394.589,-173.874,123.134,481.385,-36.0691
