"","OM","M","sigmaR","h","CPUE CV","Len. Comp. Eff. Samp. Size","Q increase","Env. Covariate","MSY","SB, sub('MSY')","F<sub>MSY</sub>","F/F<sub>MSY</sub>","SB/SB<sub>MSY</sub>","SBM<sub>MSY</sub>/SB<sub>0</sub>","Depletion"
"1","base_case","0.2","0.2","0.823509","0.2701595","20","1","TRUE",12303.8,27046.7,0.14,0.85,1.12,0.22,0.24
"2","1","0.1","0.2","0.6","0.3","2","1","FALSE",10546.2,148652,0.04,0.98,1.08,0.34,0.37
"3","2","0.2","0.2","0.6","0.3","2","1","FALSE",12384.6,57655.4,0.08,0.71,1.32,0.31,0.41
"4","3","0.3","0.2","0.6","0.3","2","1","FALSE",13174.6,28709.3,0.11,0.64,1.45,0.3,0.43
"5","4","0.1","0.6","0.6","0.3","2","1","FALSE",11244.6,156292,0.04,1.03,0.98,0.34,0.33
"6","5","0.2","0.6","0.6","0.3","2","1","FALSE",14180.6,65589.4,0.08,0.68,1.2,0.31,0.37
"7","6","0.3","0.6","0.6","0.3","2","1","FALSE",15889.6,34630.6,0.11,0.56,1.37,0.3,0.4
"8","7","0.1","0.2","0.75","0.3","2","1","FALSE",11323.4,105289,0.06,0.87,1.15,0.28,0.33
"9","8","0.2","0.2","0.75","0.3","2","1","FALSE",12784.7,36699,0.12,0.66,1.42,0.25,0.36
"10","9","0.3","0.2","0.75","0.3","2","1","FALSE",13716,17685.5,0.16,0.58,1.68,0.23,0.39
"11","10","0.1","0.6","0.75","0.3","2","1","FALSE",12069.3,111397,0.06,0.89,1.06,0.28,0.3
"12","11","0.2","0.6","0.75","0.3","2","1","FALSE",14585.5,41897.6,0.12,0.62,1.34,0.25,0.34
"13","12","0.3","0.6","0.75","0.3","2","1","FALSE",16521.2,21340.7,0.16,0.49,1.67,0.23,0.38
"14","13","0.1","0.2","0.9","0.3","2","1","FALSE",11848.7,68249.4,0.09,0.76,1.28,0.22,0.28
"15","14","0.2","0.2","0.9","0.3","2","1","FALSE",13382.4,21365.3,0.18,0.55,1.81,0.18,0.32
"16","15","0.3","0.2","0.9","0.3","2","1","FALSE",15040.9,9805.32,0.24,0.44,2.56,0.15,0.38
"17","16","0.1","0.6","0.9","0.3","2","1","FALSE",12592.9,73077.6,0.09,0.77,1.21,0.22,0.27
"18","17","0.2","0.6","0.9","0.3","2","1","FALSE",15365.5,24691.4,0.18,0.49,1.8,0.18,0.32
"19","18","0.3","0.6","0.9","0.3","2","1","FALSE",18327.7,11957.6,0.24,0.36,2.59,0.15,0.39
"20","19","0.1","0.2","0.6","0.6","2","1","FALSE",10315.9,147271,0.04,1.12,0.98,0.34,0.33
"21","20","0.2","0.2","0.6","0.6","2","1","FALSE",12689.9,59772.1,0.08,0.68,1.36,0.31,0.42
"22","21","0.3","0.2","0.6","0.6","2","1","FALSE",13839.9,30377.4,0.11,0.58,1.59,0.29,0.47
"23","22","0.1","0.6","0.6","0.6","2","1","FALSE",10987.3,155026,0.04,1.19,0.87,0.34,0.29
"24","23","0.2","0.6","0.6","0.6","2","1","FALSE",14443,67839.5,0.08,0.66,1.24,0.31,0.39
"25","24","0.3","0.6","0.6","0.6","2","1","FALSE",16519.2,36272.3,0.11,0.52,1.5,0.29,0.44
"26","25","0.1","0.2","0.75","0.6","2","1","FALSE",11098.4,103334,0.06,1.03,0.98,0.28,0.28
"27","26","0.2","0.2","0.75","0.6","2","1","FALSE",13222.4,38528.5,0.12,0.61,1.5,0.25,0.38
"28","27","0.3","0.2","0.75","0.6","2","1","FALSE",14391.6,18647.9,0.16,0.52,1.88,0.23,0.43
"29","28","0.1","0.6","0.75","0.6","2","1","FALSE",11740.7,107843,0.06,1.11,0.88,0.28,0.25
"30","29","0.2","0.6","0.75","0.6","2","1","FALSE",15085.5,43987.5,0.12,0.57,1.43,0.25,0.36
"31","30","0.3","0.6","0.75","0.6","2","1","FALSE",17290,22461.3,0.16,0.44,1.85,0.23,0.42
"32","31","0.1","0.2","0.9","0.6","2","1","FALSE",11790.4,67274,0.09,0.9,1.07,0.22,0.23
"33","32","0.2","0.2","0.9","0.6","2","1","FALSE",13983.6,22319.5,0.18,0.49,2,0.17,0.35
"34","33","0.3","0.2","0.9","0.6","2","1","FALSE",15546.9,10031.1,0.24,0.41,2.77,0.15,0.41
"35","34","0.1","0.6","0.9","0.6","2","1","FALSE",12344.5,70437.7,0.09,0.97,0.96,0.22,0.21
"36","35","0.2","0.6","0.9","0.6","2","1","FALSE",16017.6,25688.6,0.18,0.45,1.96,0.17,0.34
"37","36","0.3","0.6","0.9","0.6","2","1","FALSE",19148,12403.8,0.24,0.33,2.88,0.15,0.42
"38","37","0.1","0.2","0.6","0.3","20","1","FALSE",9720.5,134565,0.04,1.41,0.82,0.34,0.28
"39","38","0.2","0.2","0.6","0.3","20","1","FALSE",11786.5,54614.5,0.08,0.86,1.13,0.31,0.35
"40","39","0.3","0.2","0.6","0.3","20","1","FALSE",13307.4,29096.8,0.11,0.62,1.53,0.29,0.45
"41","40","0.1","0.6","0.6","0.3","20","1","FALSE",9250.26,126877,0.04,1.68,0.74,0.34,0.25
"42","41","0.2","0.6","0.6","0.3","20","1","FALSE",12964,60288.3,0.08,0.88,1.05,0.31,0.33
"43","42","0.3","0.6","0.6","0.3","20","1","FALSE",16442.3,36065.4,0.11,0.51,1.51,0.29,0.45
"44","43","0.1","0.2","0.75","0.3","20","1","FALSE",10530.9,95399.2,0.06,1.29,0.82,0.28,0.23
"45","44","0.2","0.2","0.75","0.3","20","1","FALSE",12478.5,35853.8,0.12,0.74,1.29,0.25,0.32
"46","45","0.3","0.2","0.75","0.3","20","1","FALSE",14195.4,18367.6,0.16,0.52,1.91,0.23,0.44
"47","46","0.1","0.6","0.75","0.3","20","1","FALSE",10111.7,91178.1,0.06,1.51,0.75,0.28,0.21
"48","47","0.2","0.6","0.75","0.3","20","1","FALSE",13841.3,39995.7,0.12,0.72,1.24,0.25,0.31
"49","48","0.3","0.6","0.75","0.3","20","1","FALSE",17904,23269.9,0.16,0.4,1.97,0.23,0.45
"50","49","0.1","0.2","0.9","0.3","20","1","FALSE",11182.9,62745.4,0.09,1.13,0.88,0.22,0.19
"51","50","0.2","0.2","0.9","0.3","20","1","FALSE",13283.2,21011,0.18,0.57,1.77,0.17,0.31
"52","51","0.3","0.2","0.9","0.3","20","1","FALSE",16129.6,10425.7,0.24,0.36,3.1,0.15,0.46
"53","52","0.1","0.6","0.9","0.3","20","1","FALSE",10772.2,60569.6,0.09,1.31,0.83,0.22,0.18
"54","53","0.2","0.6","0.9","0.3","20","1","FALSE",14898.1,23722.3,0.18,0.54,1.74,0.17,0.3
"55","54","0.3","0.6","0.9","0.3","20","1","FALSE",20591.3,13350.6,0.24,0.28,3.19,0.15,0.47
"56","55","0.1","0.2","0.6","0.6","20","1","FALSE",9418.53,129056,0.04,1.87,0.65,0.34,0.22
"57","56","0.2","0.2","0.6","0.6","20","1","FALSE",11435.5,52794.7,0.08,1.05,0.94,0.31,0.29
"58","57","0.3","0.2","0.6","0.6","20","1","FALSE",13262.2,29021.1,0.11,0.63,1.53,0.29,0.45
"59","58","0.1","0.6","0.6","0.6","20","1","FALSE",9090.07,123633,0.04,2.1,0.61,0.34,0.21
"60","59","0.2","0.6","0.6","0.6","20","1","FALSE",12549.4,58144.4,0.08,1.06,0.9,0.31,0.28
"61","60","0.3","0.6","0.6","0.6","20","1","FALSE",16011.1,35148.5,0.11,0.54,1.54,0.29,0.45
"62","61","0.1","0.2","0.75","0.6","20","1","FALSE",10286.4,91870.9,0.06,1.78,0.61,0.28,0.17
"63","62","0.2","0.2","0.75","0.6","20","1","FALSE",12217.3,34949.5,0.12,0.86,1.1,0.25,0.28
"64","63","0.3","0.2","0.75","0.6","20","1","FALSE",14244.6,18451.9,0.16,0.52,1.96,0.23,0.45
"65","64","0.1","0.6","0.75","0.6","20","1","FALSE",9961.51,88880.9,0.06,2,0.58,0.28,0.17
"66","65","0.2","0.6","0.75","0.6","20","1","FALSE",13385.7,38503.1,0.12,0.86,1.08,0.25,0.27
"67","66","0.3","0.6","0.75","0.6","20","1","FALSE",17605.2,22921.3,0.16,0.41,2.08,0.23,0.48
"68","67","0.1","0.2","0.9","0.6","20","1","FALSE",11011.1,60685.9,0.09,1.56,0.63,0.22,0.14
"69","68","0.2","0.2","0.9","0.6","20","1","FALSE",13071.4,20605.8,0.18,0.63,1.61,0.17,0.28
"70","69","0.3","0.2","0.9","0.6","20","1","FALSE",16303.5,10559.6,0.24,0.36,3.25,0.15,0.48
"71","70","0.1","0.6","0.9","0.6","20","1","FALSE",10644.6,59065.1,0.09,1.81,0.61,0.22,0.13
"72","71","0.2","0.6","0.9","0.6","20","1","FALSE",14365.1,22785,0.18,0.62,1.56,0.17,0.27
"73","72","0.3","0.6","0.9","0.6","20","1","FALSE",20345.4,13229.7,0.24,0.28,3.43,0.15,0.51
"74","73","0.1","0.2","0.6","0.3","2","1.01","FALSE",9679.29,133692,0.04,1.56,0.75,0.34,0.25
"75","74","0.2","0.2","0.6","0.3","2","1.01","FALSE",11285.1,51864.8,0.08,1.15,0.84,0.31,0.26
"76","75","0.3","0.2","0.6","0.3","2","1.01","FALSE",11949,25842.1,0.11,1.02,0.89,0.29,0.26
"77","76","0.1","0.6","0.6","0.3","2","1.01","FALSE",10370.8,141573,0.04,1.64,0.67,0.34,0.23
"78","77","0.2","0.6","0.6","0.3","2","1.01","FALSE",12789.3,58363.8,0.08,1.14,0.75,0.31,0.23
"79","78","0.3","0.6","0.6","0.3","2","1.01","FALSE",13907.3,29985.1,0.11,0.98,0.81,0.3,0.24
"80","79","0.1","0.2","0.75","0.3","2","1.01","FALSE",10535.1,95126.7,0.06,1.39,0.76,0.28,0.22
"81","80","0.2","0.2","0.75","0.3","2","1.01","FALSE",11847.7,33433.9,0.12,1.05,0.87,0.25,0.22
"82","81","0.3","0.2","0.75","0.3","2","1.01","FALSE",12510.4,16018.8,0.16,0.9,1,0.23,0.23
"83","82","0.1","0.6","0.75","0.3","2","1.01","FALSE",11309.3,101967,0.06,1.4,0.72,0.28,0.2
"84","83","0.2","0.6","0.75","0.3","2","1.01","FALSE",13303.9,37583.5,0.12,1.02,0.81,0.25,0.21
"85","84","0.3","0.6","0.75","0.3","2","1.01","FALSE",14512.5,18616.3,0.16,0.81,0.97,0.23,0.22
"86","85","0.1","0.2","0.9","0.3","2","1.01","FALSE",11211.9,62529.8,0.09,1.18,0.83,0.22,0.18
"87","86","0.2","0.2","0.9","0.3","2","1.01","FALSE",12344.6,19055.7,0.18,0.9,1.02,0.18,0.18
"88","87","0.3","0.2","0.9","0.3","2","1.01","FALSE",13359.1,8628.24,0.23,0.68,1.48,0.15,0.22
"89","88","0.1","0.6","0.9","0.3","2","1.01","FALSE",12007.7,67655.9,0.09,1.17,0.82,0.22,0.18
"90","89","0.2","0.6","0.9","0.3","2","1.01","FALSE",13898.7,21926,0.18,0.82,1.05,0.18,0.19
"91","90","0.3","0.6","0.9","0.3","2","1.01","FALSE",15611.9,10098.5,0.23,0.6,1.47,0.15,0.22
"92","91","0.1","0.2","0.6","0.6","2","1.01","FALSE",9710.58,136309,0.04,1.58,0.74,0.34,0.25
"93","92","0.2","0.2","0.6","0.6","2","1.01","FALSE",11546.5,53749.9,0.08,1.02,0.94,0.31,0.29
"94","93","0.3","0.2","0.6","0.6","2","1.01","FALSE",12357.2,26929.7,0.11,0.85,1.09,0.29,0.32
"95","94","0.1","0.6","0.6","0.6","2","1.01","FALSE",10351.7,143046,0.04,1.77,0.63,0.34,0.21
"96","95","0.2","0.6","0.6","0.6","2","1.01","FALSE",13077.4,60729.1,0.08,1.04,0.82,0.31,0.26
"97","96","0.3","0.6","0.6","0.6","2","1.01","FALSE",14339.2,31251,0.11,0.85,0.96,0.29,0.28
"98","97","0.1","0.2","0.75","0.6","2","1.01","FALSE",10595.8,96279.1,0.06,1.48,0.71,0.28,0.2
