Year,Combined Index,CV,Catch,TAC
1950,,,3646,
1951,,,2581,
1952,,,2993,
1953,,,3303,
1954,,,3034,
1955,,,3502,
1956,,,3358,
1957,,,4578,
1958,,,4904,
1959,,,6232,
1960,,,3828,
1961,,,4381,
1962,,,5342,
1963,1.634375294,0.157416752,10190,
1964,1.080923475,0.079078251,11258,
1965,1.006800541,0.072862817,8652,
1966,0.871880153,0.066560169,9349,
1967,0.943110037,0.075267901,9107,
1968,1.043823999,0.079918516,9172,
1969,1.159230487,0.083872382,9203,
1970,1.218852181,0.079241318,9578,
1971,1.676440233,0.118383337,5266,
1972,2.0198548,0.164613389,4766,
1973,2.328699632,0.197761617,6074,
1974,1.738313024,0.137825301,6362,
1975,1.062453716,0.08654078,8839,
1976,0.768488826,0.070574292,6696,
1977,0.992598014,0.092591981,6409,
1978,1.387263189,0.135265545,11827,
1979,1.025769596,0.099889055,11937,
1980,1.09687359,0.095696784,13558,
1981,0.994776101,0.087231936,11197,
1982,1.056844982,0.090589501,13215,
1983,0.729729261,0.068514288,14562.67,
1984,0.645582097,0.05962671,12832.67,
1985,0.779207803,0.066397499,14383,
1986,1.146765478,0.082305574,18486.4,
1987,1.286521324,0.072240152,20238.32,
1988,1.426391001,0.073817016,19525.07,
1989,1.198899314,0.06024239,17261.33,
1990,1.127158224,0.057587532,15672.1,
1991,1.109030251,0.056522547,14933.7,
1992,0.866846846,0.043588298,15394,
1993,0.79813193,0.040767924,16737.83,
1994,0.718959774,0.036825516,15501.26,
1995,0.686351773,0.035124291,17104.89,
1996,0.606788201,0.0306405,15221.72,
1997,0.607346686,0.029432047,13024.67,11300
1998,0.61834128,0.030439019,12329,11000
1999,0.662501029,0.032919465,11622.37,10700
2000,0.806894904,0.03945143,11453.18,10600
2001,0.860122101,0.04257482,10011.05,10500
2002,0.865943286,0.042610412,9654.123,10400
2003,0.89843229,0.041433086,11443.54,14000
2004,0.816816399,0.035916544,12071.14,14000
2005,0.849573023,0.036392366,12380.25,14000
2006,0.810388961,0.035561062,11528.46,14000
2007,0.864413871,0.037711734,12305.56,14000
2008,0.914350191,0.040261069,11102.32,14000
2009,0.910682664,0.040557224,12146.14,14000
2010,0.830257914,0.039276981,11671.58,13700
2011,0.930623863,0.041306878,12709.12,13700
2012,0.935229354,0.041055636,13889.55,13700
2013,0.919864274,0.042278255,12078.35,13700
2014,0.864324232,0.041093073,10707.66,13700
2015,0.75619896,0.035067465,10752.08,13700
2016,0.673538557,0.031187098,10501.24,13700
2017,0.629217718,0.029865279,10295.41,13700
2018,0.6722399,0.032821,9025.198,13200
2019,0.735578695,0.036863198,10244.14,13200
2020,1.089262315,0.051559277,10476.29,13200
2021,0.978313276,0.054832642,9845,13200
2022,1.265809107,0.071944465,10342,13200
