OM,Year,Biomass
MOM_001,1950,1.562754459
MOM_001,1951,1.554308659
MOM_001,1952,1.548341845
MOM_001,1953,1.541594131
MOM_001,1954,1.534191451
MOM_001,1955,1.52810488
MOM_001,1956,1.521225056
MOM_001,1957,1.515151157
MOM_001,1958,1.506471524
MOM_001,1959,1.497542574
MOM_001,1960,1.485888909
MOM_001,1961,1.479853125
MOM_001,1962,1.47232621
MOM_001,1963,1.462400255
MOM_001,1964,1.442664243
MOM_001,1965,1.420289496
MOM_001,1966,1.403924225
MOM_001,1967,1.385785982
MOM_001,1968,1.368717348
MOM_001,1969,1.351683707
MOM_001,1970,1.334922801
MOM_001,1971,1.318040377
MOM_001,1972,1.310654885
MOM_001,1973,1.304891699
MOM_001,1974,1.295935049
MOM_001,1975,1.286549243
MOM_001,1976,1.271148617
MOM_001,1977,1.261213499
MOM_001,1978,1.252210705
MOM_001,1979,1.230504788
MOM_001,1980,1.204731447
MOM_001,1981,1.16788934
MOM_001,1982,1.133914049
MOM_001,1983,1.092372735
MOM_001,1984,1.048456832
MOM_001,1985,1.01157021
MOM_001,1986,0.972919278
MOM_001,1987,0.926563331
MOM_001,1988,0.879960635
MOM_001,1989,0.839282112
MOM_001,1990,0.803436376
MOM_001,1991,0.769467676
MOM_001,1992,0.739788819
MOM_001,1993,0.7112716
MOM_001,1994,0.679998096
MOM_001,1995,0.651865711
MOM_001,1996,0.618886462
MOM_001,1997,0.593290779
MOM_001,1998,0.578142724
MOM_001,1999,0.568272879
MOM_001,2000,0.562823093
MOM_001,2001,0.557529469
MOM_001,2002,0.556334378
MOM_001,2003,0.556593471
MOM_001,2004,0.55081468
MOM_001,2005,0.543819398
MOM_001,2006,0.539271691
MOM_001,2007,0.542661669
MOM_001,2008,0.54730593
MOM_001,2009,0.553154191
MOM_001,2010,0.552998095
MOM_001,2011,0.555828102
MOM_001,2012,0.557427563
MOM_001,2013,0.552205416
MOM_001,2014,0.549660256
MOM_001,2015,0.548541523
MOM_001,2016,0.543694266
MOM_001,2017,0.53958667
MOM_001,2018,0.542669863
MOM_001,2019,0.552343116
MOM_001,2020,0.553365173
MOM_002,1950,1.641572411
MOM_002,1951,1.631383398
MOM_002,1952,1.624221262
MOM_002,1953,1.616136993
MOM_002,1954,1.607293287
MOM_002,1955,1.600034529
MOM_002,1956,1.591835184
MOM_002,1957,1.584619177
MOM_002,1958,1.574281596
MOM_002,1959,1.563661447
MOM_002,1960,1.549776713
MOM_002,1961,1.542729725
MOM_002,1962,1.533939834
MOM_002,1963,1.522306541
MOM_002,1964,1.498734345
MOM_002,1965,1.472034436
MOM_002,1966,1.452684101
MOM_002,1967,1.431290607
MOM_002,1968,1.41124036
MOM_002,1969,1.391316896
MOM_002,1970,1.371786549
MOM_002,1971,1.352142683
MOM_002,1972,1.344108094
MOM_002,1973,1.338070635
MOM_002,1974,1.328218931
MOM_002,1975,1.317851271
MOM_002,1976,1.300251484
MOM_002,1977,1.289251867
MOM_002,1978,1.279393142
MOM_002,1979,1.254168259
MOM_002,1980,1.22442792
MOM_002,1981,1.18208946
MOM_002,1982,1.143814459
MOM_002,1983,1.097011492
MOM_002,1984,1.047598266
MOM_002,1985,1.006711696
MOM_002,1986,0.963898524
MOM_002,1987,0.911962046
MOM_002,1988,0.859612644
MOM_002,1989,0.814073914
MOM_002,1990,0.77435249
MOM_002,1991,0.736974867
MOM_002,1992,0.704576235
MOM_002,1993,0.673258914
MOM_002,1994,0.638725955
MOM_002,1995,0.608041066
MOM_002,1996,0.571569561
MOM_002,1997,0.543431907
MOM_002,1998,0.52710173
MOM_002,1999,0.51656426
MOM_002,2000,0.510741466
MOM_002,2001,0.504719469
MOM_002,2002,0.503553752
MOM_002,2003,0.50429097
MOM_002,2004,0.498089896
MOM_002,2005,0.490518941
MOM_002,2006,0.485501632
MOM_002,2007,0.489244264
MOM_002,2008,0.494051721
MOM_002,2009,0.500547113
MOM_002,2010,0.500212959
MOM_002,2011,0.503313503
MOM_002,2012,0.504735818
MOM_002,2013,0.498210561
MOM_002,2014,0.495051884
MOM_002,2015,0.493928108
MOM_002,2016,0.48873711
MOM_002,2017,0.484358533
MOM_002,2018,0.487906415
MOM_002,2019,0.499219842
MOM_002,2020,0.500932881
MOM_003,1950,1.701662971
MOM_003,1951,1.690054379
MOM_003,1952,1.68192991
MOM_003,1953,1.672771294
MOM_003,1954,1.662776001
MOM_003,1955,1.654573889
MOM_003,1956,1.645312252
MOM_003,1957,1.637174954
MOM_003,1958,1.625497569
MOM_003,1959,1.613507793
MOM_003,1960,1.597811513
MOM_003,1961,1.589962496
MOM_003,1962,1.580180182
MOM_003,1963,1.567202901
MOM_003,1964,1.540487174
MOM_003,1965,1.510255052
MOM_003,1966,1.488489665
MOM_003,1967,1.464488151
MOM_003,1968,1.442057237
MOM_003,1969,1.419848484
MOM_003,1970,1.398138979
MOM_003,1971,1.376317215
MOM_003,1972,1.367875466
MOM_003,1973,1.361738091
MOM_003,1974,1.351283227
MOM_003,1975,1.34022793
MOM_003,1976,1.320945329
MOM_003,1977,1.309186538
MOM_003,1978,1.298742157
MOM_003,1979,1.270726521
MOM_003,1980,1.237846959
MOM_003,1981,1.19119241
MOM_003,1982,1.149618963
MOM_003,1983,1.098746351
MOM_003,1984,1.045110806
MOM_003,1985,1.001218264
MOM_003,1986,0.955280207
MOM_003,1987,0.899102088
MOM_003,1988,0.842449596
MOM_003,1989,0.793370346
MOM_003,1990,0.750887949
MOM_003,1991,0.711126228
MOM_003,1992,0.676898135
MOM_003,1993,0.643661166
MOM_003,1994,0.606861188
MOM_003,1995,0.574471914
MOM_003,1996,0.535525826
MOM_003,1997,0.505690612
MOM_003,1998,0.488765034
MOM_003,1999,0.478012002
MOM_003,2000,0.47217989
MOM_003,2001,0.465825014
MOM_003,2002,0.464898449
MOM_003,2003,0.466191436
MOM_003,2004,0.459782977
MOM_003,2005,0.451868868
MOM_003,2006,0.446597283
MOM_003,2007,0.450795387
MOM_003,2008,0.455916201
MOM_003,2009,0.463069676
MOM_003,2010,0.462682944
MOM_003,2011,0.46609806
MOM_003,2012,0.467477431
MOM_003,2013,0.459957914
MOM_003,2014,0.456322142
MOM_003,2015,0.455163773
MOM_003,2016,0.449640323
MOM_003,2017,0.444976947
MOM_003,2018,0.448802586
MOM_003,2019,0.46129357
MOM_003,2020,0.46339776
MOM_004,1950,1.671919842
MOM_004,1951,1.654809463
MOM_004,1952,1.643870988
MOM_004,1953,1.632056154
MOM_004,1954,1.619710396
MOM_004,1955,1.610651857
MOM_004,1956,1.600482551
MOM_004,1957,1.592380008
MOM_004,1958,1.579332294
MOM_004,1959,1.566291373
